time,mod,event
0.0,0,breathing
0.039999961853027344,0,breathing
0.07999992370605469,0,breathing
0.11999988555908203,0,breathing
0.16000008583068848,0,breathing
0.20000004768371582,0,breathing
0.24000000953674316,0,breathing
0.2799999713897705,0,breathing
0.31999993324279785,128239,breathing
0.3599998950958252,196271,breathing
0.40000009536743164,377536,breathing
0.440000057220459,517593,breathing
0.48000001907348633,328730,breathing
0.5199999809265137,55526,breathing
0.559999942779541,182956,breathing
0.5999999046325684,336671,breathing
0.6400001049041748,329647,breathing
0.6800000667572021,-273,breathing
0.7200000286102295,-12034,breathing
0.7599999904632568,62760,breathing
0.7999999523162842,180681,breathing
0.8399999141693115,311075,breathing
0.880000114440918,472080,breathing
0.9200000762939453,776192,breathing
0.9600000381469727,836019,breathing
1.0,930275,breathing
1.0399999618530273,1169154,breathing
1.0799999237060547,1125305,breathing
1.119999885559082,1107190,breathing
1.1600000858306885,1311238,breathing
1.2000000476837158,1253358,breathing
1.2400000095367432,1251371,breathing
1.2799999713897705,1228583,breathing
1.3199999332427979,1179631,breathing
1.3599998950958252,1108693,breathing
1.4000000953674316,1127146,breathing
1.440000057220459,974889,breathing
1.4800000190734863,853940,breathing
1.5199999809265137,849854,breathing
1.559999942779541,800193,breathing
1.5999999046325684,777226,breathing
1.6400001049041748,733625,breathing
1.6800000667572021,654837,breathing
1.7200000286102295,532009,breathing
1.7599999904632568,394788,breathing
1.7999999523162842,446148,breathing
1.8399999141693115,590049,breathing
1.880000114440918,706233,breathing
1.9200000762939453,667586,breathing
1.9600000381469727,710875,breathing
2.0,665827,breathing
2.0399999618530273,666654,breathing
2.0799999237060547,580585,breathing
2.119999885559082,404447,breathing
2.1600000858306885,390678,breathing
2.200000047683716,340754,breathing
2.240000009536743,394177,breathing
2.2799999713897705,399841,breathing
2.319999933242798,460219,breathing
2.359999895095825,512222,breathing
2.4000000953674316,467712,breathing
2.440000057220459,582655,breathing
2.4800000190734863,596945,breathing
2.5199999809265137,645820,breathing
2.559999942779541,659942,breathing
2.5999999046325684,707076,breathing
2.640000104904175,715502,breathing
2.680000066757202,788202,breathing
2.7200000286102295,581292,breathing
2.759999990463257,265981,breathing
2.799999952316284,318507,breathing
2.8399999141693115,1566749,breathing
2.880000114440918,4057062,breathing
2.9200000762939453,6022404,breathing
2.9600000381469727,7210954,breathing
3.0,7989754,breathing
3.0399999618530273,8118476,breathing
3.0799999237060547,7983130,breathing
3.119999885559082,7994906,breathing
3.1600000858306885,7983335,breathing
3.200000047683716,7871726,breathing
3.240000009536743,7591343,breathing
3.2799999713897705,7269923,breathing
3.319999933242798,6741755,breathing
3.359999895095825,5776320,breathing
3.4000000953674316,5250594,breathing
3.440000057220459,5046035,breathing
3.4800000190734863,5296121,breathing
3.5199999809265137,5305096,breathing
3.559999942779541,5106929,breathing
3.5999999046325684,5185566,breathing
3.640000104904175,5364712,breathing
3.680000066757202,5238735,breathing
3.7200000286102295,4836326,breathing
3.759999990463257,4463397,breathing
3.799999952316284,4054731,breathing
3.8399999141693115,3732958,breathing
4.880000114440918,3598831,breathing
3.9200000762939453,3458275,breathing
4.960000038146973,3469521,breathing
3.0,3290918,breathing
4.039999961853027,3001128,breathing
4.079999923706055,2029098,breathing
4.119999885559082,996615,breathing
4.1600000858306885,311320,breathing
4.200000047683716,-333049,breathing
4.240000009536743,-1076732,breathing
4.2799999713897705,-1139941,breathing
4.319999933242798,-1179835,breathing
4.359999895095825,-1710016,breathing
4.400000095367432,-2770944,breathing
4.440000057220459,-4138281,breathing
4.480000019073486,-6110732,breathing
4.519999980926514,-7144893,breathing
4.559999942779541,-6630375,breathing
4.599999904632568,-5994248,breathing
4.640000104904175,-5394196,breathing
4.680000066757202,-4794149,breathing
4.7200000286102295,-4069111,breathing
4.759999990463257,-3288019,breathing
4.799999952316284,-2842560,breathing
4.8399999141693115,-2837719,breathing
4.880000114440918,-3174900,breathing
4.920000076293945,-3297004,breathing
5.960000038146973,-2952702,breathing
5.0,-2437408,breathing
5.039999961853027,-2970601,breathing
5.079999923706055,-3871451,breathing
5.119999885559082,-4537032,breathing
5.1600000858306885,-5798188,breathing
5.200000047683716,-7552049,breathing
5.240000009536743,-7552049,breathing
5.2799999713897705,-8641604,breathing
5.319999933242798,-9968728,breathing
